SKU,MissingValue,DefaultApplied
HL00483,Width - in,3.15
HL00476,Width - in,3.15
HBG105258G,Width - in,3.15
HBG105258S,Width - in,3.15
HL00482,Width - in,3.15
HM00582,Width - in,3.15
HM00580,Width - in,3.15
HBG103115B,Width - in,3.15
HBG103115BL,Width - in,3.15
HBG103115R,Width - in,3.15
HBG103930W,Width - in,3.15
HBG103930YL,Width - in,3.15
HBG103392BEI,Width - in,3.15
HBG103392GY,Width - in,3.15
HBG103393BEI,Width - in,3.15
HBG103393GY,Width - in,3.15
HBG103597B,Width - in,3.15
HBG103597BEI,Width - in,3.15
HBG103597BL,Width - in,3.15
HBG103597GY,Width - in,3.15
HBG103597PN,Width - in,3.15
HBG103597YL,Width - in,3.15
HBG103385B,Width - in,3.15
HBG103385BEI,Width - in,3.15
HBG103385BL,Width - in,3.15
HBG103385PN,Width - in,3.15
HBG103385R,Width - in,3.15
HBG103387B,Width - in,3.15
HBG103387BL,Width - in,3.15
HBG103387KH,Width - in,3.15
HBG103387PN,Width - in,3.15
HBG103675B,Width - in,3.15
HBG103675BL,Width - in,3.15
HBG103675CH,Width - in,3.15
HBG103675GR,Width - in,3.15
HBG103342B,Width - in,3.15
HBG103342BEI,Width - in,3.15
HBG103342BL,Width - in,3.15
HBG103342BR,Width - in,3.15
HBG103342GR,Width - in,3.15
HBG103342GY,Width - in,3.15
HBG103342R,Width - in,3.15
HBG104955BL,Height - in,3.15
HBG104955G,Height - in,3.15
HBG104955OR,Height - in,3.15
HBG104955PN,Height - in,3.15
HBG104955PU,Height - in,3.15
HBG104955R,Height - in,3.15
HBG104955S,Height - in,3.15
HBG104955W,Height - in,3.15
HBG104955YL,Height - in,3.15
HM00587,Height - in,3.15
HBG104364G,Height - in,3.15
HBG104364B,Height - in,3.15
HBG104364S,Height - in,3.15
HBG104363B,Height - in,3.15
HBG104361CH,Height - in,3.15
HBG104362B,Height - in,3.15
HBG104362CH,Height - in,3.15
HBG104362G,Height - in,3.15
HBG104053B,Height - in,3.15
HBG104053FU,Height - in,3.15
HBG104053G,Height - in,3.15
HBG104053PN,Height - in,3.15
HBG104053S,Height - in,3.15
HL00497B,Height - in,3.15
HL00497FU,Height - in,3.15
HL00497G,Height - in,3.15
HL00497PN,Height - in,3.15
